城市,PM2.5,,,,
北    京,89,,,,
天    津,96,,,,
石 家 庄,154,,,,
太    原,81,,,,
呼和浩特,57,,,,
沈    阳,78,,,,
长    春,73,,,,
哈 尔 滨,81,,,,
上    海,62,,,,
南    京,78,,,,
杭    州,70,,,,
宁    波,54,,,,
温    州,58,,,,
嘉    兴,68,,,,
湖    州,74,,,,
绍    兴,71,,,,
金    华,70,,,,
衢    州,68,,,,
舟    山,33,,,,
台    州,53,,,,
丽    水,49,,,,
合    肥,88,,,,
福    州,36,,,,
厦    门,36,,,,
南    昌,69,,,,
济    南,110,,,,
青    岛,67,,,,
郑    州,108,,,,
武    汉,94,,,,
长    沙,83,,,,
广    州,53,,,,
深    圳,40,,,,
珠    海,38,,,,
佛    山,52,,,,
江    门,51,,,,
肇    庆,54,,,,
惠    州,38,,,,
东    莞,47,,,,
中    山,48,,,,
南    宁,57,,,,
海    口,27,,,,
重    庆,70,,,,
成    都,96,,,,
贵    阳,53,,,,
昆    明,42,,,,
拉    萨,26,,,,
西    安,105,,,,
兰    州,67,,,,
西    宁,70,,,,
银    川,51,,,,
乌鲁木齐,88,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
